Model,Accuracy,F1 Score,Loss,Avg Inference Time (s)
VGG16,0.8799163179916318,0.8817961939130013,0.5960298180580139,0.040865641857290864
VGG19,0.8828451882845189,0.8831806372347528,0.6337559819221497,0.042390625546666866
ResNet50,0.902092050209205,0.9020164735153691,0.3867015242576599,0.044094852124297965
ResNet101,0.9171548117154812,0.9170187153338529,0.3296181261539459,0.04711762631787416
InceptionV3,0.8606694560669456,0.8603947684286258,0.6099541187286377,0.04690406232698193
MobileNetV3Small,0.8841004184100418,0.883648476239699,0.3430754244327545,0.03556106489572565
MobileNetV3Large,0.9242677824267782,0.9238230036129602,0.25731581449508667,0.0376507851867995
EfficientNetV2S,0.9464435146443515,0.9462547935377399,0.17123745381832123,0.05172062438901
EfficientNetV2M,0.9196652719665271,0.9194173037778933,0.25973471999168396,0.05646005305286232
EfficientNetV2L,0.9209205020920502,0.9202990722418711,0.24041301012039185,0.08451264662722663
